case_name,display_name,method,a,b,n,h,exact,approx,abs_error
poly_x_squared,"Integral of x^2 on [0, 1]",simpson,0.0,1.0,4,0.25,0.3333333333333333,0.3333333333333333,0.0
poly_x_squared,"Integral of x^2 on [0, 1]",simpson,0.0,1.0,8,0.125,0.3333333333333333,0.3333333333333333,0.0
poly_x_squared,"Integral of x^2 on [0, 1]",simpson,0.0,1.0,16,0.0625,0.3333333333333333,0.3333333333333333,0.0
poly_x_squared,"Integral of x^2 on [0, 1]",simpson,0.0,1.0,32,0.03125,0.3333333333333333,0.3333333333333333,0.0
poly_x_squared,"Integral of x^2 on [0, 1]",simpson,0.0,1.0,64,0.015625,0.3333333333333333,0.3333333333333333,0.0
poly_x_squared,"Integral of x^2 on [0, 1]",simpson,0.0,1.0,128,0.0078125,0.3333333333333333,0.3333333333333333,0.0
poly_x_squared,"Integral of x^2 on [0, 1]",simpson,0.0,1.0,256,0.00390625,0.3333333333333333,0.3333333333333333,0.0
sin_0_to_pi,"Integral of sin(x) on [0, pi]",simpson,0.0,3.141592653589793,4,0.7853981633974483,2.0,2.0045597549844207,0.0045597549844207386
sin_0_to_pi,"Integral of sin(x) on [0, pi]",simpson,0.0,3.141592653589793,8,0.39269908169872414,2.0,2.0002691699483877,0.00026916994838765973
sin_0_to_pi,"Integral of sin(x) on [0, pi]",simpson,0.0,3.141592653589793,16,0.19634954084936207,2.0,2.0000165910479355,1.6591047935499148e-05
sin_0_to_pi,"Integral of sin(x) on [0, pi]",simpson,0.0,3.141592653589793,32,0.09817477042468103,2.0,2.0000010333694127,1.0333694127062643e-06
sin_0_to_pi,"Integral of sin(x) on [0, pi]",simpson,0.0,3.141592653589793,64,0.04908738521234052,2.0,2.000000064530002,6.453000178652246e-08
sin_0_to_pi,"Integral of sin(x) on [0, pi]",simpson,0.0,3.141592653589793,128,0.02454369260617026,2.0,2.000000004032257,4.032257194808153e-09
sin_0_to_pi,"Integral of sin(x) on [0, pi]",simpson,0.0,3.141592653589793,256,0.01227184630308513,2.0,2.0000000002520024,2.520024189323067e-10
exp_0_to_1,"Integral of exp(x) on [0, 1]",simpson,0.0,1.0,4,0.25,1.718281828459045,1.718318841921747,3.7013462701906974e-05
exp_0_to_1,"Integral of exp(x) on [0, 1]",simpson,0.0,1.0,8,0.125,1.718281828459045,1.7182841546998966,2.326240851502348e-06
exp_0_to_1,"Integral of exp(x) on [0, 1]",simpson,0.0,1.0,16,0.0625,1.718281828459045,1.718281974051892,1.455928468896417e-07
exp_0_to_1,"Integral of exp(x) on [0, 1]",simpson,0.0,1.0,32,0.03125,1.718281828459045,1.7182818375617714,9.102726350462831e-09
exp_0_to_1,"Integral of exp(x) on [0, 1]",simpson,0.0,1.0,64,0.015625,1.718281828459045,1.7182818290280153,5.689702042843692e-10
exp_0_to_1,"Integral of exp(x) on [0, 1]",simpson,0.0,1.0,128,0.0078125,1.718281828459045,1.7182818284946066,3.556155370176839e-11
exp_0_to_1,"Integral of exp(x) on [0, 1]",simpson,0.0,1.0,256,0.00390625,1.718281828459045,1.7182818284612673,2.2222224060897133e-12
pi_integral,"Integral of 4/(1+x^2) on [0, 1]",simpson,0.0,1.0,4,0.25,3.141592653589793,3.14156862745098,2.4026138813137976e-05
pi_integral,"Integral of 4/(1+x^2) on [0, 1]",simpson,0.0,1.0,8,0.125,3.141592653589793,3.141592502458707,1.5113108631226169e-07
pi_integral,"Integral of 4/(1+x^2) on [0, 1]",simpson,0.0,1.0,16,0.0625,3.141592653589793,3.141592651224822,2.364971329882337e-09
pi_integral,"Integral of 4/(1+x^2) on [0, 1]",simpson,0.0,1.0,32,0.03125,3.141592653589793,3.1415926535528365,3.695665995451236e-11
pi_integral,"Integral of 4/(1+x^2) on [0, 1]",simpson,0.0,1.0,64,0.015625,3.141592653589793,3.141592653589216,5.773159728050814e-13
pi_integral,"Integral of 4/(1+x^2) on [0, 1]",simpson,0.0,1.0,128,0.0078125,3.141592653589793,3.1415926535897842,8.881784197001252e-15
pi_integral,"Integral of 4/(1+x^2) on [0, 1]",simpson,0.0,1.0,256,0.00390625,3.141592653589793,3.141592653589793,0.0
